Epoch,Training RMSE,Validation RMSE,Hidden Size,Number of Layers,Learning Rate,Sequence Length,Batch Size
300,0.1274,0.4297,32,3,0.0001,60,32
350,0.1189,0.4287,32,3,0.0001,60,32
400,0.1129,0.4266,32,3,0.0001,60,32
450,0.1039,0.4338,32,3,0.0001,60,32
500,0.1026,0.4406,32,3,0.0001,60,32
550,0.0991,0.4474,32,3,0.0001,60,32
600,0.0916,0.4429,32,3,0.0001,60,32
50,0.2018,0.3874,32,3,0.0003,60,32
100,0.1503,0.4063,32,3,0.0003,60,32
150,0.1197,0.4396,32,3,0.0003,60,32
200,0.1009,0.4480,32,3,0.0003,60,32
250,0.0976,0.4471,32,3,0.0003,60,32
300,0.0824,0.4573,32,3,0.0003,60,32
350,0.0818,0.4642,32,3,0.0003,60,32
400,0.0736,0.4730,32,3,0.0003,60,32
450,0.0678,0.4681,32,3,0.0003,60,32
500,0.0710,0.4684,32,3,0.0003,60,32
550,0.0682,0.4751,32,3,0.0003,60,32
600,0.0651,0.4749,32,3,0.0003,60,32
50,0.1905,0.4024,32,3,0.0005,60,32
100,0.1235,0.4178,32,3,0.0005,60,32
150,0.1195,0.4391,32,3,0.0005,60,32
200,0.1074,0.4512,32,3,0.0005,60,32
250,0.0785,0.4615,32,3,0.0005,60,32
300,0.0789,0.4763,32,3,0.0005,60,32
350,0.0892,0.4544,32,3,0.0005,60,32
400,0.0728,0.4693,32,3,0.0005,60,32
450,0.0707,0.4632,32,3,0.0005,60,32
500,0.0736,0.4714,32,3,0.0005,60,32
550,0.0575,0.4641,32,3,0.0005,60,32
600,0.0684,0.4532,32,3,0.0005,60,32
50,0.1466,0.4019,32,3,0.001,60,32
100,0.1085,0.4319,32,3,0.001,60,32
150,0.1067,0.4393,32,3,0.001,60,32
200,0.0681,0.4425,32,3,0.001,60,32
250,0.0770,0.4444,32,3,0.001,60,32
300,0.0810,0.4383,32,3,0.001,60,32
350,0.0686,0.4430,32,3,0.001,60,32
400,0.0702,0.4385,32,3,0.001,60,32
450,0.0565,0.4450,32,3,0.001,60,32
500,0.0619,0.4459,32,3,0.001,60,32
550,0.0494,0.4362,32,3,0.001,60,32
600,0.0548,0.4372,32,3,0.001,60,32
50,0.4460,0.4934,64,1,1e-05,60,32
100,0.3955,0.4465,64,1,1e-05,60,32
150,0.3624,0.4347,64,1,1e-05,60,32
200,0.3324,0.4180,64,1,1e-05,60,32
250,0.3024,0.4020,64,1,1e-05,60,32
300,0.2770,0.3953,64,1,1e-05,60,32
350,0.2605,0.3946,64,1,1e-05,60,32
400,0.2492,0.3949,64,1,1e-05,60,32
450,0.2396,0.3949,64,1,1e-05,60,32
500,0.2310,0.3946,64,1,1e-05,60,32
550,0.2231,0.3940,64,1,1e-05,60,32
600,0.2161,0.3932,64,1,1e-05,60,32
50,0.3256,0.4079,64,1,5e-05,60,32
100,0.2535,0.3958,64,1,5e-05,60,32
150,0.2134,0.4044,64,1,5e-05,60,32
200,0.1877,0.4298,64,1,5e-05,60,32
250,0.1658,0.4166,64,1,5e-05,60,32
300,0.1550,0.4147,64,1,5e-05,60,32
