num_layers,hidden_size,learning_rate,num_epochs,RMSE
2,64,0.0001,550,0.3362692148894316
2,64,0.0001,600,0.33527679676345024

2,64,0.0003,50,0.33528461887879696
2,64,0.0003,100,0.33520982354146817
2,64,0.0003,150,0.3821448518003246
2,64,0.0003,200,0.3815146848507102
2,64,0.0003,250,0.3613988446286326
2,64,0.0003,300,0.35074337795202964
2,64,0.0003,350,0.33955152597639177
2,64,0.0003,400,0.3331033116664734
2,64,0.0003,450,0.3284445863861226
2,64,0.0003,500,0.32553668047160206
2,64,0.0003,550,0.3269038524439485
2,64,0.0003,600,0.3360096055648883

2,64,0.0005,50,0.33605026969413565
2,64,0.0005,100,0.374244206464591
2,64,0.0005,150,0.3541008967684228
2,64,0.0005,200,0.3398457011901265
2,64,0.0005,250,0.32726975653966595
2,64,0.0005,300,0.3240249353228183
2,64,0.0005,350,0.3236523011716129
2,64,0.0005,400,0.32926006631807314
2,64,0.0005,450,0.3328919642684915
2,64,0.0005,500,0.3325536097066089
2,64,0.0005,550,0.325963633414029
2,64,0.0005,600,0.3223781158168006

2,64,0.001,50,0.3246512802563206
2,64,0.001,100,0.31976600874358896
2,64,0.001,150,0.35410800850119833
2,64,0.001,200,0.34641030819812413
2,64,0.001,250,0.3286596665088283
2,64,0.001,300,0.3288072350941009
2,64,0.001,350,0.3260103385344936
2,64,0.001,400,0.326514834708118
2,64,0.001,450,0.3343819265450343
2,64,0.001,500,0.3316871879968637
2,64,0.001,550,0.33531893847524336
2,64,0.001,600,0.329641482228643

3,16,1e-05,50,0.360955061216971
3,16,1e-05,100,0.3193090585018042
3,16,1e-05,150,0.3191155072416704
3,16,1e-05,200,0.31897405949192403
3,16,1e-05,250,0.3188574235947741
3,16,1e-05,300,0.31875799533689814
3,16,1e-05,350,0.3186724007338676
3,16,1e-05,400,0.31859833577940294
3,16,1e-05,450,0.318533761876742
3,16,1e-05,500,0.31847725774454483
3,16,1e-05,550,0.3184273653036738
3,16,1e-05,600,0.31838321011489684

3,16,5e-05,50,0.31891207314482406
3,16,5e-05,100,0.31829656671778117
3,16,5e-05,150,0.3182196515289786
3,16,5e-05,200,0.31820652808887406
3,16,5e-05,250,0.3182068441816604
3,16,5e-05,300,0.31821032118158704
3,16,5e-05,350,0.3182170409323665
3,16,5e-05,400,0.31822599647720184
3,16,5e-05,450,0.318235045418806
3,16,5e-05,500,0.318243262992775
3,16,5e-05,550,0.31825114089509604
3,16,5e-05,600,0.3182601071855653

3,16,0.0001,50,0.32960501176758594
3,16,0.0001,100,0.3252609232564401
3,16,0.0001,150,0.3211065777074909
3,16,0.0001,200,0.31912228964683026
3,16,0.0001,250,0.31810645137439997
3,16,0.0001,300,0.31772985411542454
3,16,0.0001,350,0.31763958447708285
3,16,0.0001,400,0.31770322618392366
3,16,0.0001,450,0.3178474311986745
3,16,0.0001,500,0.318044026530026
3,16,0.0001,550,0.31827128543152866
3,16,0.0001,600,0.318501037252375

3,16,0.0003,50,0.3600398630681904
3,16,0.0003,100,0.32501914719886205
3,16,0.0003,150,0.32631713236786863
3,16,0.0003,200,0.3297529255098796
3,16,0.0003,250,0.32765680925196927
3,16,0.0003,300,0.32565153041326533
3,16,0.0003,350,0.32349011688892687
3,16,0.0003,400,0.32228966825556515
3,16,0.0003,450,0.3213384526561859
3,16,0.0003,500,0.32110711137208464
3,16,0.0003,550,0.3211285268323359
3,16,0.0003,600,0.3210662022489125

3,16,0.0005,50,0.3185476553752956
3,16,0.0005,100,0.3452682885395551
3,16,0.0005,150,0.32459050432387376
3,16,0.0005,200,0.322674185967876
3,16,0.0005,250,0.3315447215959509
3,16,0.0005,300,0.3300573466606018
3,16,0.0005,350,0.32531956999367356
3,16,0.0005,400,0.3232876495015546
3,16,0.0005,450,0.3229209594543771
3,16,0.0005,500,0.32380281908576425
3,16,0.0005,550,0.32558919061730107
3,16,0.0005,600,0.3266178097953601

3,16,0.001,50,0.33086575543625435
3,16,0.001,100,0.35116719167469745
3,16,0.001,150,0.33753211786953047
3,16,0.001,200,0.33342296418501427
3,16,0.001,250,0.3250453477180071
3,16,0.001,300,0.324099380855475
3,16,0.001,350,0.32686223278677345
3,16,0.001,400,0.3338292637293825
3,16,0.001,450,0.3346448469008323
3,16,0.001,500,0.3281801041245759
3,16,0.001,550,0.3279561902822185
3,16,0.001,600,0.33121894879825087

3,32,1e-05,50,0.321393990122889
3,32,1e-05,100,0.3192840440681444
3,32,1e-05,150,0.3186926121568223
3,32,1e-05,200,0.31847360819907666
3,32,1e-05,250,0.3183791265620883
3,32,1e-05,300,0.3183353508619882
3,32,1e-05,350,0.3183111376580626
3,32,1e-05,400,0.31829332473914934
3,32,1e-05,450,0.3182775825322901
3,32,1e-05,500,0.31826332609245395
3,32,1e-05,550,0.31825056732483764

